state,rank,payer,payer_slug,as_reported,parent_org,payer_kind,lobs,approx_share_pct,share_basis,notes
MT,1,Blue Cross and Blue Shield of Montana (HCSC),blue-cross-and-blue-shield-of-montana,,Health Care Service Corporation,commercial,commercial|medicare_advantage,43.5,"HCSC statewide commercial market share, AMA Competition in Health Insurance data as cited in press coverage (2017 data — dated; still the state's clear #1 per AMA 2023-2024 editions which show HCSC leading Montana)",Dominant commercial carrier statewide (fully-insured + ASO); also sells Blue Cross Medicare Advantage. Credential via HCSC/Availity pathways.
MT,2,PacificSource Health Plans,pacificsource-health-plans,,"PacificSource (independent nonprofit, Springfield OR)",commercial,commercial|medicare_advantage,,"unverified: model knowledge — consistently among top MT carriers in individual/group markets per MT CSI and marketplace filings, no single share figure located",Major regional carrier in western/central MT; commercial group + individual plus PacificSource Medicare (MA).
MT,3,Mountain Health CO-OP,mountain-health-co-op,,Montana Health Cooperative (member-governed CO-OP),commercial,commercial,,"unverified: model knowledge — one of the last surviving ACA CO-OPs; a leading MT individual-marketplace carrier per healthcare.gov plan offerings, no share figure located",Individual + small-group marketplace focus; also operates in ID and WY. Significant individual-market membership relative to Montana's small population.
MT,4,Allegiance Benefit Plan Management (Cigna),allegiance-benefit-plan-management,,The Cigna Group,commercial,commercial,,unverified: model knowledge — Missoula-based TPA administering a large share of Montana self-funded employer plans (incl. the state employee plan historically); no published covered-lives figure located,Self-funded ASO administrator using Cigna networks; heavy Montana employer footprint. Credentialing typically flows through the Cigna network.
MT,5,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,unverified: model knowledge — national carrier present in MT group/ASO and MA markets; no MT-specific share located,National employer accounts + MA (incl. AARP-branded plans).
MT,6,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge — among the larger MA carriers in MT counties per CMS landscape files; MA penetration in MT is low overall,MA/MA-PD focused; minimal commercial medical in MT.
MT,7,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — national employer ASO accounts + MA presence; no MT-specific figure located,Mostly national-account ASO lives plus MA.
MT,8,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — national-account ASO lives beyond the Allegiance book; no MT-specific figure located,Listed separately from Allegiance (rank 4) because direct Cigna national accounts credential/contract through Cigna proper.
MT,9,EBMS (Employee Benefit Management Services),ebms,,"EBMS (independent TPA, Billings MT)",commercial,commercial,,unverified: model knowledge — long-standing Billings-based TPA for self-funded MT employers; no covered-lives figure located,Self-funded ASO only; typically rents networks — providers usually contract via the rented network rather than EBMS directly.
MT,10,TRICARE West (TriWest),tricare-west,TriWest Healthcare Alliance (TRICARE West Region),TriWest Healthcare Alliance,tricare,tricare,,"unverified: model knowledge — TriWest took over the TRICARE West Region (includes MT) effective Jan 1, 2025 per DHA announcements","Military beneficiaries (Malmstrom AFB, Guard/Reserve, retirees). Replaced Health Net Federal Services as West Region contractor in 2025."
NC,1,Blue Cross and Blue Shield of North Carolina,blue-cross-and-blue-shield-of-north-carolina,,Blue Cross and Blue Shield of North Carolina (independent licensee),commercial,commercial|medicare_advantage|managed_medicaid,,"Reported at ~83% of NC individual market and ~80% of group market (The Assembly NC reporting from NC DOI-derived data, 2023-24); total membership ~4.3M+ (company reports). No single all-lines percentage published","Overwhelming NC market leader across individual, group, and MA. Lost the ~750k-member State Health Plan TPA role to Aetna 1/1/2025 but was voted back in as SHP TPA starting 2028 (SHP board vote, July 10, 2026)."
NC,2,UnitedHealthcare,unitedhealthcare,UnitedHealthcare of North Carolina (UnitedHealth Group),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge — #2 commercial carrier plus large MA book and a Standard Plan Medicaid contract (~400k+ Medicaid lives commonly reported); exact totals not verified,Holds one of the five NC Medicaid Standard Plan contracts (verified via NC DHHS).
NC,3,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,"NC State Health Plan TPA covering 750,000+ state employees/retirees since Jan 1, 2025 (verified: NC Newsline/WRAL, 2025-2026) plus its own commercial and MA books","SHP administration returns to Blue Cross NC in 2028 (board vote July 10, 2026) — expect network/credentialing churn around that transition. Aetna also bid for but did not win NC Medicaid standard plans."
NC,4,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — significant employer ASO book in Charlotte/Triangle metros; no NC-specific figure verified,Commercial ASO only; no NC Medicaid or meaningful MA presence.
NC,5,WellCare of North Carolina (Centene),wellcare-of-north-carolina,,Centene Corporation,medicaid_mco,managed_medicaid|medicare_advantage,,"unverified for enrollment count; Standard Plan status and the April 2026 absorption of Carolina Complete Health are verified (NC Medicaid / BenefitsUSA plan-year guidance, 2026)","Post-merger (CCH members transitioned in) WellCare likely becomes the largest single NC Medicaid Standard Plan — combined Centene Medicaid book in NC ~650k range (model estimate, unverified)."
NC,6,Healthy Blue (Blue Cross NC + Amerigroup/Elevance partnership),healthy-blue,,Blue Cross NC in partnership with Elevance Health (Amerigroup),medicaid_mco,managed_medicaid,,unverified: model knowledge — historically the largest or second-largest Standard Plan (~450-500k); Standard Plan contract status verified (NC DHHS),Separate network/credentialing from Blue Cross NC commercial — providers must contract with Healthy Blue distinctly.
NC,7,AmeriHealth Caritas North Carolina,amerihealth-caritas-north-carolina,,AmeriHealth Caritas (Independence Blue Cross / Blue Cross Blue Shield of Michigan JV),medicaid_mco,managed_medicaid,,"unverified: model knowledge for enrollment (~350-400k commonly reported); Standard Plan contract verified (NC DHHS, 2026 plan year)",Medicaid-only carrier in NC; one of the five Standard Plans continuing into 2026.
NC,8,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage|tricare,,"unverified: model knowledge — among the top MA carriers in NC (~250-300k MA lives per KFF-type state MA data, not directly verified in this session); Humana Military administers TRICARE East covering NC's large military population (Fort Liberty, Camp Lejeune)",MA plus TRICARE East managed-care support contract; no NC commercial group or Medicaid.
NC,9,MedCost (Atrium Health/Advocate Health + Wake Forest owned TPA/network),medcost,,Advocate Health (Atrium Health / Wake Forest University Baptist),commercial,commercial,,unverified: model knowledge — regional self-funded TPA + proprietary PPO network serving several hundred thousand NC/SC/VA lives; no verified figure,LOW CONFIDENCE rank. Included because its proprietary network makes it a distinct credentialing target for NC groups; verify current covered lives.
NC,10,Trillium Health Resources (Tailored Plan),trillium-health-resources,,Trillium Health Resources (public managed-care entity),medicaid_mco,managed_medicaid,,"unverified: model knowledge — Tailored Plans launched July 2024 cover whole-person (physical + BH/I-DD) care; Trillium has the largest county footprint (~46 counties post-consolidation with Eastpointe/Sandhills); enrollment ~100-150k range, unverified","LOW CONFIDENCE rank; peers Alliance Health, Partners Health Management, and Vaya Health are similar-scale Tailored Plans. Included so the Tailored Plan credentialing lane is represented."
ND,1,Blue Cross Blue Shield of North Dakota (Noridian Mutual Insurance Company),blue-cross-blue-shield-of-north-dakota,,Noridian Mutual Insurance Company (independent BCBS licensee),commercial,commercial|medicare_advantage|managed_medicaid,,"Dominant by every historical measure: 450,000+ members / roughly half the state's population (Wikipedia/company figures); ~71% of the individual market (2017 data via Becker's/KFF); 2024-2026 all-lines share not published — treat magnitude as verified, precision as not","Holds the ND Medicaid Expansion MCO contract (since 2022) and dominates commercial group/individual, incl. the NDPERS state-employee book historically. Same corporate family as MAC contractor Noridian Healthcare Solutions (separate subsidiary)."
ND,2,Sanford Health Plan,sanford-health-plan,,Sanford Health,commercial,commercial|medicare_advantage,,"unverified: model knowledge — #2 in-state carrier; ~200k members across SD/ND/MN with a substantial ND book (Fargo/Bismarck); served ~26,000 ND Medicaid Expansion members before losing that contract to BCBSND effective 2022 (verified via ND DHS award coverage)","Integrated system payer (Sanford hospitals in Fargo/Bismarck). Lost expansion Medicaid 2022; retains commercial group, individual, and MA."
ND,3,Medica,medica,,Medica (MN non-profit),commercial,commercial|medicare_advantage,,unverified: model knowledge — long-standing ND individual/group carrier and MA participant statewide,One of the few non-Blue individual-market options in ND for years.
ND,4,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,unverified: model knowledge — national-account ASO lives plus statewide MA/PPO products,No ND Medicaid presence (single-MCO state).
ND,5,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge — MA/D-SNP only in ND,MA-only footprint.
ND,6,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — ASO/FEHB and MA lives; small absolute book in ND,Ranks 5-8 in ND are within noise of each other — low confidence ordering.
ND,7,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — small ASO book only,Commercial ASO only.
ND,8,HealthPartners,healthpartners,,HealthPartners (MN non-profit),commercial,commercial|medicare_advantage,,unverified: model knowledge — border-market presence in the Fargo-Moorhead / Grand Forks corridors via MN-anchored employer plans,Relevant mainly for eastern-ND providers seeing MN-plan patients.
ND,9,TRICARE West (TriWest),tricare-west,TriWest Healthcare Alliance (TRICARE West Region),TriWest Healthcare Alliance,tricare,tricare,,"unverified: model knowledge — ND moved into the TriWest-administered TRICARE West Region Jan 1, 2025; Minot AFB and Grand Forks AFB populations",payer_kind forced to 'commercial' by schema; actual line is TRICARE. Meaningful for Minot/Grand Forks-area credentialing.
ND,10,NextBlue of North Dakota (BCBSND),nextblue-of-north-dakota,,Blue Cross Blue Shield of North Dakota / HealthyDakota Mutual Holdings,medicare_advantage,medicare_advantage,,unverified: model knowledge — BCBSND's Medicare Advantage entity (launched for plan year 2022),Separate MA legal entity from BCBSND's core mutual — may require separate contracting. ND is a thin market: ranks 3-10 are all far below the BCBSND/Sanford duopoly.
NE,1,Blue Cross and Blue Shield of Nebraska,blue-cross-and-blue-shield-of-nebraska,,Blue Cross and Blue Shield of Nebraska (independent licensee),commercial,commercial|medicare_advantage,,"AMA Competition in Health Insurance (2023/2024 editions) shows BCBSNE as Nebraska's largest commercial insurer; exact share not retrievable in this session — treat as leading share, source AMA 2024",Dominant commercial carrier (fully-insured + ASO); only PPO issuer on the NE marketplace (verified 2026 marketplace coverage). Also offers MA.
NE,2,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (incl. UnitedHealthcare Community Plan of Nebraska),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge — #2 diversified carrier combining group/ASO, a leading NE MA book (AMA flags NE among least-competitive MA markets), and one of three Heritage Health MCO contracts (MCO contract verified, NE DHHS 2025)",Commercial + MA + Heritage Health Medicaid MCO. Heritage Health credentialing runs through the state centralized CVO since 2025.
NE,3,Medica,medica,,"Medica (nonprofit, Minneapolis)",commercial,commercial,,unverified: model knowledge — major NE individual-marketplace and group carrier (marketplace participation verified via 2026 plan listings); no share figure located,Strong individual/small-group presence across Nebraska including rural counties.
NE,4,Nebraska Total Care (Centene),nebraska-total-care,,Centene Corporation,medicaid_mco,managed_medicaid,,"Heritage Health MCO contract verified (NE DHHS, 2025); roughly one-third of ~330k Heritage Health lives — plan-level split not published in sources reviewed",Heritage Health MCO. Sister Centene marketplace product is Ambetter Health of Nebraska (rank 9).
NE,5,Molina Healthcare of Nebraska,molina-healthcare-of-nebraska,,Molina Healthcare,medicaid_mco,managed_medicaid,,"Heritage Health MCO contract verified (NE DHHS, 2025); Molina entered Jan 2024 absorbing much of the exiting Healthy Blue membership — plan-level split not published in sources reviewed","Newest of the three Heritage Health MCOs (contract start Jan 1, 2024)."
NE,6,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — national-account ASO plus MA presence in Omaha/Lincoln metros; no NE-specific figure located,Employer ASO + MA.
NE,7,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge — among NE's larger MA carriers per CMS landscape files; no share located,MA-focused; no meaningful NE commercial medical book.
NE,8,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — national-account ASO lives in Omaha-area employers; no NE-specific figure located,Primarily self-funded ASO.
NE,9,Ambetter Health of Nebraska (Centene),ambetter-health-of-nebraska,,Centene Corporation,commercial,commercial,,Marketplace participation verified (2026 NE marketplace carrier listings); enrollment share not located,ACA marketplace product; network overlaps Nebraska Total Care — separate line of business for contracting.
NE,10,Oscar Health,oscar-health,,"Oscar Health, Inc.",commercial,commercial,,"Marketplace participation verified (2026 NE marketplace carrier listings, moneygeek/CMS); enrollment share not located","Individual ACA marketplace only, metro-focused."
NH,1,Anthem Blue Cross and Blue Shield of New Hampshire (Elevance),anthem-blue-cross-and-blue-shield-of-new-hampshire,Anthem Blue Cross and Blue Shield NH (Elevance),Elevance Health,commercial,commercial|medicare_advantage,,AMA Competition in Health Insurance 2024: Anthem holds the top market share in New Hampshire (one of three states where Anthem leads); exact percentage not retrievable in this session,The state's BCBS licensee and dominant commercial carrier (fully-insured + ASO) plus MA.
NH,2,Harvard Pilgrim Health Care (Point32Health),harvard-pilgrim-health-care,,Point32Health,commercial,commercial,,unverified: model knowledge — long-standing #2 NH commercial carrier (group + individual marketplace); no NH-specific share located,Point32Health = Harvard Pilgrim + Tufts Health Plan merger; NH business runs under the Harvard Pilgrim brand.
NH,3,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,"unverified: model knowledge — historically strong NH large-group/ASO presence (legacy Healthsource, founded in NH); no share located",Large-group and self-funded ASO.
NH,4,WellSense Health Plan of New Hampshire,wellsense-health-plan-of-new-hampshire,,Boston Medical Center Health System,medicaid_mco,managed_medicaid,,"MCM contract verified (NH DHHS, 2024-2025); WellSense has historically held the largest MCM enrollment share — plan-level split not published in sources reviewed",Largest NH Medicaid MCO; rebranded from Well Sense to WellSense in 2021.
NH,5,New Hampshire Healthy Families (Centene),new-hampshire-healthy-families,,Centene Corporation,medicaid_mco,managed_medicaid|commercial,,"MCM contract verified (NH DHHS, 2024-2025); plan-level enrollment split not published in sources reviewed",Centene's NH Medicaid brand; sister Ambetter product sells on the NH marketplace.
NH,6,AmeriHealth Caritas New Hampshire,amerihealth-caritas-new-hampshire,,AmeriHealth Caritas (Independence Health Group / Blue Cross of Idaho JV lineage),medicaid_mco,managed_medicaid,,"MCM contract verified (NH DHHS, 2024-2025); smallest of the three MCOs per historical NH enrollment dashboards — figure not re-verified this session",Medicaid-only in NH (joined MCM in 2019).
NH,7,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,unverified: model knowledge — national-account ASO + MA (incl. AARP brand); no NH-specific figure located,Commercial ASO + MA.
NH,8,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — national-account ASO + MA; no NH-specific figure located,Employer ASO + MA.
NH,9,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge — MA carrier in NH counties per CMS landscape files; no share located,MA only in NH.
NH,10,Martin's Point Generations Advantage,martin-s-point-generations-advantage,,"Martin's Point Health Care (nonprofit, Portland ME)",medicare_advantage,medicare_advantage|tricare,,unverified: model knowledge — leading regional MA plan across ME and NH; also administers US Family Health Plan (TRICARE Prime designated provider); no NH-specific share located,Significant MA membership in NH's eastern/southern counties.
NJ,1,Horizon Blue Cross Blue Shield of New Jersey,horizon-blue-cross-blue-shield-of-new-jersey,,Horizon Mutual Holdings,commercial,commercial|managed_medicaid|medicare_advantage,68.3,"Horizon's share of the NJ INDIVIDUAL market, AMA Competition in Health Insurance data as reported by Becker's (2023/2024); its all-lines share is lower but Horizon is unambiguously NJ's #1 across commercial + Medicaid combined","Dominant commercial carrier + largest NJ FamilyCare MCO (Horizon NJ Health, roughly half of MCO enrollment historically). State-employee (SHBP/SEHBP) volume also flows through Horizon."
NJ,2,UnitedHealthcare,unitedhealthcare,UnitedHealthcare (incl. Oxford Health Plans and UHC Community Plan),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge — #2 NJ commercial carrier (Oxford brand strong in North Jersey/NYC metro) + NJ FamilyCare MCO (contract verified, NJ DHS 2025) + large MA book",Oxford is a UHC brand/legal entity — contracts may sit under Oxford entities in North Jersey.
NJ,3,Aetna (CVS Health),aetna,Aetna (CVS Health) incl. Aetna Better Health of New Jersey,CVS Health,commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge for commercial rank; NJ FamilyCare MCO contract verified (NJ DHS, 2025)",Large employer ASO + one of NJ's biggest MA carriers + Medicaid MCO.
NJ,4,Fidelis Care New Jersey (Centene),fidelis-care-new-jersey,,Centene Corporation,medicaid_mco,managed_medicaid|medicare_advantage|commercial,,"NJ FamilyCare MCO contract verified (NJ DHS, 2025); formerly WellCare of NJ — rebranded to Fidelis Care; plan-level enrollment split not re-verified this session",Centene's NJ Medicaid brand; sister products: Wellcare MA and Ambetter marketplace.
NJ,5,Wellpoint New Jersey (Elevance),wellpoint-new-jersey,,Elevance Health,medicaid_mco,managed_medicaid,,"NJ FamilyCare MCO contract verified (NJ DHS, 2025); renamed from Amerigroup New Jersey effective Jan 1, 2024",Elevance's NJ Medicaid plan (Elevance is NOT the NJ BCBS licensee — Horizon is).
NJ,6,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — substantial NJ large-group/self-funded ASO book; no NJ-specific figure located,Primarily ASO; exited NJ individual market years ago.
NJ,7,AmeriHealth New Jersey,amerihealth-new-jersey,,Independence Health Group (AmeriHealth Holdings),commercial,commercial,,"unverified: model knowledge — one of the few NJ-domiciled commercial carriers, active in individual + small group statewide; no share located","Distinct from AmeriHealth Caritas (Medicaid sister company, not an NJ FamilyCare MCO)."
NJ,8,Clover Health,clover-health,,Clover Health Investments,medicare_advantage,medicare_advantage,,unverified: model knowledge — NJ-founded MA insurer with one of the larger PPO MA books in the state (~100k range NJ members historically); not re-verified this session,MA-only; wide-network PPO model.
NJ,9,Braven Health,braven-health,,JV: Horizon BCBSNJ + Hackensack Meridian Health + RWJBarnabas Health,medicare_advantage,medicare_advantage,,unverified: model knowledge — fast-growing NJ-only MA plan launched 2021; among the state's larger MA carriers; no share located,Credentialing/contracting typically leverages the Horizon network but Braven is a distinct payer entity.
NJ,10,Oscar Health,oscar-health,,"Oscar Health, Inc.",commercial,commercial,,unverified: model knowledge — active NJ individual-marketplace carrier with meaningful ACA enrollment; no share located,Individual ACA marketplace only. Considered vs. Humana for rank 10 — Humana's NJ MA footprint is comparatively small.
NM,1,Presbyterian Health Plan (NM),presbyterian-health-plan,,Presbyterian Healthcare Services,medicaid_mco,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge — widely described as NM's largest health plan (~600k total members historically); Medicaid (Turquoise Care) is its largest single line, hence payer_kind, but it is a fully diversified integrated plan","Integrated delivery system payer (Presbyterian Healthcare Services hospitals + plan). Covers commercial group, NM state employee options, FEHB, MA, and Turquoise Care Medicaid. Rank 1 vs BCBSNM is close — flag low confidence on 1-2 ordering."
NM,2,Blue Cross and Blue Shield of New Mexico (HCSC),blue-cross-and-blue-shield-of-new-mexico,,Health Care Service Corporation,commercial,commercial|medicare_advantage|managed_medicaid,48,AMA 'Competition in Health Insurance' 2024 update (2023 data): NM's largest commercial insurer holds 48% of the combined PPO+HMO+POS+EXCH market; attribution of that top slot to BCBSNM/HCSC is moderate-confidence (AMA state table identity not directly readable in search results),One of the two incumbent Turquoise Care MCOs (members auto-re-enrolled at 2024 transition). Statewide PPO network; HCSC hosts credentialing centrally for its five Blue plans.
NM,3,UnitedHealthcare,unitedhealthcare,UnitedHealthcare of New Mexico (UnitedHealth Group),UnitedHealth Group,medicaid_mco,commercial|medicare_advantage|managed_medicaid,,unverified: model knowledge — entered NM Medicaid via Turquoise Care 7/1/2024 (verified fact); relative sizing of its NM Medicaid vs commercial vs MA books not verified; payer_kind low confidence,New Turquoise Care entrant 7/1/2024 plus established MA and national-account commercial/ASO business. Credential once via UHC's national process for all lines.
NM,4,Molina Healthcare of New Mexico,molina-healthcare-of-new-mexico,,Molina Healthcare,medicaid_mco,managed_medicaid|medicare_advantage|commercial,,unverified: model knowledge for size; Turquoise Care MCO status verified via NM HCA (2024),Re-entered NM Medicaid as a new Turquoise Care MCO 7/1/2024 (Molina previously operated in Centennial Care era pre-2019); also sells marketplace and MA/D-SNP products.
NM,5,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — presence is via national self-funded ASO accounts; no NM-specific covered-lives figure verified,Employer ASO book only in NM (no Medicaid; exited MA broadly for 2026 via HCSC sale of Medicare business — MA members transitioning to HCSC).
NM,6,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge,National-account commercial/ASO plus Medicare Advantage in Albuquerque metro and statewide PPO MA.
NM,7,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge — Humana NM book is essentially all Medicare Advantage/D-SNP,MA-focused in NM; minimal commercial presence after Humana's national exit from employer group medical (completed 2024).
NM,8,Devoted Health,devoted-health,Devoted Health (NM),Devoted Health,medicare_advantage,medicare_advantage,,unverified: model knowledge — fast-growing MA entrant in NM metro markets; enrollment figure not verified,MA-only startup carrier with meaningful Albuquerque-area growth since ~2022. Low confidence on rank 8 vs other MA carriers.
NM,9,TRICARE West (TriWest),tricare-west,TriWest Healthcare Alliance (TRICARE West Region),TriWest Healthcare Alliance,tricare,tricare,,"unverified: model knowledge — NM sits in the TRICARE West Region, administered by TriWest since Jan 1, 2025 (took over from Health Net Federal Services); military lives (Kirtland, Holloman, Cannon AFBs, White Sands) not separately quantified",payer_kind forced to 'commercial' by schema; actual line is TRICARE managed care support. Separate credentialing/certification path from commercial carriers.
NM,10,Ambetter from Western Sky Community Care (Centene),ambetter-from-western-sky-community-care,,Centene Corporation,commercial,commercial,,unverified: model knowledge — Western Sky's Medicaid exit 7/1/2024 is verified (NM HCA); whether its Ambetter marketplace book remains active in 2026 was NOT verified,Residual Centene presence after losing the Turquoise Care award. LOW CONFIDENCE row — verify current marketplace participation before relying on it; True Health New Mexico (exited 12/31/2022) and Friday Health are defunct and excluded.
NV,1,Health Plan of Nevada / Sierra Health and Life (UnitedHealthcare),health-plan-of-nevada-sierra-health-and-life,,UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,61,"UnitedHealth share of Nevada commercial market, AMA Competition in Health Insurance 2024 edition (as reported in AMA/trade press coverage)","By far Nevada's largest payer across all lines: dominant commercial HMO/PPO (via 2008 Sierra Health Services acquisition), the largest Medicaid MCO (HPN), and leading MA (Senior Dimensions). Multiple legal entities — confirm which entity a contract sits under."
NV,2,Anthem Blue Cross and Blue Shield of Nevada (Elevance),anthem-blue-cross-and-blue-shield-of-nevada,Anthem Blue Cross and Blue Shield Nevada (Elevance),Elevance Health,commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge for commercial rank; Medicaid MCO contract (as Community Care Health Plan of Nevada) verified via 2026 award coverage (Healthcare Dive, 2025)",The state's BCBS licensee. Medicaid line operates as Community Care Health Plan of Nevada d/b/a Anthem BCBS Nevada; re-awarded for Clark + Washoe under the 2026 contracts.
NV,3,Molina Healthcare of Nevada,molina-healthcare-of-nevada,,Molina Healthcare,medicaid_mco,managed_medicaid|medicare_advantage,,"Medicaid MCO contract re-award for Clark + Washoe effective 1/1/2026 verified (Healthcare Dive/NV Medicaid, 2025); plan-level enrollment split not published in sources reviewed",One of the larger Nevada Medicaid MCOs; also markets D-SNP MA.
NV,4,SilverSummit Healthplan (Centene),silversummit-healthplan,,Centene Corporation,medicaid_mco,managed_medicaid|commercial,,"Medicaid MCO contract verified — highest-scored bidder, awarded Clark, Washoe AND rural counties for 1/1/2026 (Healthcare Dive/NV Medicaid, 2025)",Centene's Nevada Medicaid brand; sister Ambetter product is a major Nevada marketplace carrier.
NV,5,Aetna (CVS Health),aetna,,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — national employer ASO + MA in Las Vegas metro; no NV-specific figure located,Commercial ASO + MA; not a Nevada Medicaid MCO.
NV,6,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage,,unverified: model knowledge — top-tier MA carrier in Clark County per CMS landscape files; no share located,MA-focused in NV.
NV,7,Prominence Health Plan (UHS),prominence-health-plan,,Universal Health Services,commercial,commercial|medicare_advantage,,unverified: model knowledge — Reno-founded regional carrier with commercial + MA in northern and southern NV; no share located,Provider-owned (UHS: Valley Health System hospitals in Las Vegas).
NV,8,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,unverified: model knowledge — national-account ASO lives; no NV-specific figure located,Primarily self-funded ASO.
NV,9,Hometown Health (Renown Health),hometown-health,,Renown Health,commercial,commercial|medicare_advantage,,"unverified: model knowledge — northern Nevada's largest not-for-profit regional insurer (Reno/Sparks), commercial + Senior Care Plus MA; no share located",Provider-owned; dominant regional in Washoe/northern NV employer market.
NV,10,CareSource Nevada,caresource-nevada,,"CareSource (nonprofit, Dayton OH)",medicaid_mco,managed_medicaid,,"New Medicaid MCO contract effective 1/1/2026 verified — awarded Clark, Washoe and rural counties; state redistributing a percentage of membership to CareSource at go-live (NV Medicaid web announcement 3753, Oct 2025)",New entrant — expect heavy initial credentialing/contracting volume ahead of and after the Jan 2026 go-live.
NY,1,UnitedHealthcare,unitedhealthcare,UnitedHealthcare / Oxford (UnitedHealth Group),UnitedHealth Group,commercial,commercial|medicare_advantage|managed_medicaid,34.6,"Share of NY private (commercial) enrollment — 4.6M covered lives — Mark Farrah Associates county-level brief, data as of Dec 31, 2022",Oxford is the dominant downstate small/mid-group brand; separate Oxford vs UHC network participation matters for credentialing/contracting.
NY,2,Anthem Blue Cross and Blue Shield of New York (Elevance),anthem-blue-cross-and-blue-shield-of-new-york,"Anthem Blue Cross and Blue Shield of New York (Elevance; ex-Empire, downstate licensee)",Elevance Health,commercial,commercial|medicare_advantage|managed_medicaid,22.9,"Elevance share of NY private (commercial) enrollment — ~3.1M lives — Mark Farrah Associates, Dec 31, 2022 (excludes its Medicaid book)",Downstate BCBS licensee (rebranded Empire → Anthem BCBS in 2024). Medicaid runs under Anthem HealthPlus. NYC public-employee (GHI/Empire) arrangements make Blue participation critical downstate.
NY,3,Fidelis Care (Centene),fidelis-care,,Centene Corporation,medicaid_mco,managed_medicaid|medicare_advantage|commercial,,"Company-reported: 'more than 2.4 million members in New York State' (Fidelis Care / Centene press materials, 2024-2025)","Largest NY Medicaid/Essential Plan/CHP carrier, statewide footprint. Bought by Centene from the NY Catholic dioceses in 2018."
NY,4,Healthfirst (NY),healthfirst,,Healthfirst (hospital-sponsored non-profit; HF Management Services),medicaid_mco,managed_medicaid|medicare_advantage|commercial,,unverified: model knowledge — commonly cited at ~1.8-2M members concentrated in NYC/Long Island (company materials say 'nearly 2 million'); exact 2025 figure not verified in searches,"NYC-hospital-system-sponsored plan; Medicaid, Essential Plan, D-SNP heavy. Downstate-only network."
NY,5,EmblemHealth (GHI / HIP),emblemhealth,,"EmblemHealth, Inc.",commercial,commercial|medicare_advantage|managed_medicaid,,"unverified: model knowledge — Emblem group reports ~3M members including ConnectiCare (CT, since divested); NY book estimated ~2M, dominated by NYC public-employee GHI CBP",GHI and HIP are separate underwriting entities/networks under Emblem — providers often must enroll in each separately. Huge NYC municipal-worker book.
NY,6,Excellus BlueCross BlueShield (upstate NY),excellus-bluecross-blueshield,,Excellus BCBS (Lifetime Healthcare Companies),commercial,commercial|medicare_advantage|managed_medicaid,8.3,"Lifetime Healthcare share of NY private enrollment — ~1.1M lives — Mark Farrah Associates, Dec 31, 2022; company reports ~1.5M total members across all lines","Dominant Blue across Rochester, Syracuse, Central NY, Southern Tier, Utica. Sister brand Univera serves Buffalo area under the Lifetime umbrella."
