payer_slug,name,parent_org,payer_kind,lobs,states,state_count,aliases,clearinghouse_payer_id,payer_id_scope,stedi_slug,enrollment_required,id_source
mdwise-exited-indiana-medicaid,"MDwise — EXITED Indiana Medicaid (Jan 1, 2026)","MDwise, Inc. (was McLaren Health Care affiliate)",medicaid_mco,managed_medicaid,IN,1,MDwise HIP|MDwise Hoosier Healthwise,,,,,
medcost,MedCost (Atrium Health/Advocate Health + Wake Forest owned TPA/network),Advocate Health (Atrium Health / Wake Forest University Baptist),commercial,commercial,NC,1,MedCost Benefit Services|MedCost Virginia,,,,,
medical-mutual-of-ohio,Medical Mutual of Ohio,Medical Mutual of Ohio (mutual; Ohio-based),commercial,commercial|medicare_advantage,OH,1,MedMutual|Medical Mutual Services (TPA)|SuperMed PPO network,29076,per_state,,,Availity 837 PDF (MEDICAL MUTUAL 29076)
medstar-family-choice,MedStar Family Choice,MedStar Health,medicaid_mco,managed_medicaid|medicare_advantage,MD,1,MedStar Family Choice Maryland|MedStar Medicare Choice (MA),,,,,
mending,Mending (formerly Taro Health),Mending Health,commercial,commercial,ME,1,Taro Health,,,,,
mercy-care,Mercy Care,Aetna/CVS Health (administered); sponsored by CommonSpirit/Ascension heritage partners,medicaid_mco,managed_medicaid|medicare_advantage,AZ,1,Mercy Care Advantage (D-SNP)|Mercy Care Plan|Mercy Care RBHA,,,,,
meridian-with-ambetter-wellcare-youthcare-affiliates,"Meridian (Centene) — with Ambetter, Wellcare, YouthCare affiliates",Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,IL,1,Ambetter of Illinois (Celtic Insurance)|Meridian Health Plan of Illinois|Wellcare (MA)|YouthCare HealthChoice Illinois,,,,,Centene plans generally consolidate on 68069 — verify per plan
meridian-health-plan-of-michigan,Meridian Health Plan of Michigan (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,MI,1,Ambetter from Meridian (exchange)|Meridian|Wellcare (Centene Medicare),,,,,Centene plans generally consolidate on 68069 — verify per plan
metroplushealth,MetroPlusHealth (NYC Health + Hospitals),NYC Health + Hospitals,medicaid_mco,commercial|managed_medicaid|medicare_advantage,NY,1,"MetroPlus Gold|MetroPlus Health Plan, Inc.",,,,,
mhs-managed-health-services-with-ambetter-wellcare-affiliates,"MHS — Managed Health Services (Centene), with Ambetter/Wellcare affiliates",Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,IN,1,Allwell (legacy)|Ambetter from MHS|Managed Health Services of Indiana|Wellcare (MA),,,,,Centene plans generally consolidate on 68069 — verify per plan
mhs-health-wisconsin,MHS Health Wisconsin (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid,WI,1,"Ambetter from MHS Health Wisconsin (marketplace, via Celtic)|Managed Health Services",,,,,
molina-complete-care,Molina Complete Care (Molina Healthcare),Molina Healthcare,medicaid_mco,managed_medicaid|medicare_advantage,VA,1,Magellan Complete Care of Virginia (acquired by Molina 2022)|Molina Healthcare of Virginia,,,,,
molina-healthcare-of-arizona,Molina Healthcare of Arizona,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid|medicare_advantage,AZ,1,Molina Complete Care of Arizona|Molina Marketplace (AZ),A4353,per_state,,,"Search results: thepracticebridge.com/38333 (Molina Healthcare of California), claim.md/payer/38333; Molina clearinghouse info page summary (TX 20554, WA 38336 via Change Healthcare)"
molina-healthcare-of-california,Molina Healthcare of California,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid|medicare_advantage,CA,1,Molina Marketplace|Molina Medi-Cal,38333,per_state,,,"Search results: thepracticebridge.com/38333 (Molina Healthcare of California), claim.md/payer/38333; Molina clearinghouse info page summary (TX 20554, WA 38336 via Change Healthcare)"
molina-healthcare-of-florida,Molina Healthcare of Florida,Molina Healthcare,medicaid_mco,commercial|managed_medicaid,FL,1,,,,,,
molina-healthcare-of-georgia,Molina Healthcare of Georgia,Molina Healthcare,medicaid_mco,commercial|managed_medicaid,GA,1,,,,,,
molina-healthcare-of-idaho,Molina Healthcare of Idaho,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid|medicare_advantage,ID,1,Molina Marketplace Idaho|Molina Medicaid Plus,,,,,
molina-healthcare-of-illinois,Molina Healthcare of Illinois,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid|medicare_advantage,IL,1,Molina Marketplace|Molina Medicare,,,,,
molina-healthcare-of-iowa,Molina Healthcare of Iowa,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid,IA,1,Molina Marketplace Iowa,,,,,
molina-healthcare-of-michigan,Molina Healthcare of Michigan,Molina Healthcare,medicaid_mco,commercial|managed_medicaid|medicare_advantage,MI,1,Molina|Molina Marketplace|Molina Medicare,,,,,
molina-healthcare-of-mississippi,Molina Healthcare of Mississippi,Molina Healthcare,medicaid_mco,commercial|managed_medicaid|medicare_advantage,MS,1,Molina Marketplace MS,,,,,
molina-healthcare-of-nebraska,Molina Healthcare of Nebraska,Molina Healthcare,medicaid_mco,managed_medicaid,NE,1,Molina NE,,,,,
molina-healthcare-of-nevada,Molina Healthcare of Nevada,Molina Healthcare,medicaid_mco,managed_medicaid|medicare_advantage,NV,1,Molina NV,,,,,
molina-healthcare-of-new-mexico,Molina Healthcare of New Mexico,Molina Healthcare,medicaid_mco,commercial|managed_medicaid|medicare_advantage,NM,1,Molina Marketplace (NM)|Molina Medicare,,,,,
molina-healthcare-of-ohio,Molina Healthcare of Ohio,Molina Healthcare,medicaid_mco,commercial|managed_medicaid|medicare_advantage,OH,1,Molina Dual Options|Molina Marketplace (OH)|Molina MyCare Ohio,,,,,
molina-healthcare-of-south-carolina,Molina Healthcare of South Carolina,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid|medicare_advantage,SC,1,Molina Marketplace SC|Molina Medicare,,,,,
molina-healthcare-of-texas,Molina Healthcare of Texas,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid|medicare_advantage,TX,1,Molina Marketplace (TX),20554,per_state,,,"Search results: thepracticebridge.com/38333 (Molina Healthcare of California), claim.md/payer/38333; Molina clearinghouse info page summary (TX 20554, WA 38336 via Change Healthcare)"
molina-healthcare-of-utah,Molina Healthcare of Utah,"Molina Healthcare, Inc.",medicaid_mco,commercial|managed_medicaid|medicare_advantage,UT,1,Molina Marketplace (UT),,,,,
molina-healthcare-of-washington,Molina Healthcare of Washington,Molina Healthcare,medicaid_mco,commercial|managed_medicaid|medicare_advantage,WA,1,Molina Marketplace (Ambetter-style exchange product)|Molina Medicare,38336,per_state,,,"Search results: thepracticebridge.com/38333 (Molina Healthcare of California), claim.md/payer/38333; Molina clearinghouse info page summary (TX 20554, WA 38336 via Change Healthcare)"
molina-healthcare-of-wisconsin,Molina Healthcare of Wisconsin (incl. My Choice Wisconsin),Molina Healthcare,medicaid_mco,commercial|managed_medicaid|medicare_advantage,WI,1,Molina Marketplace|My Choice Wisconsin (LTSS),,,,,
mvp-health-care,MVP Health Care (VT),"MVP Health Care (Schenectady, NY nonprofit)",commercial,commercial,VT,1,MVP,14165,per_region,,,Availity 837 PDF (MVP HEALTH CARE / MVP HEALTH PLAN / MVP Medicaid all 14165)
nebraska-total-care,Nebraska Total Care (Centene),Centene Corporation,medicaid_mco,managed_medicaid,NE,1,NTC,,,,,Centene plans generally consolidate on 68069 — verify per plan
neighborhood-health-plan-of-rhode-island,Neighborhood Health Plan of Rhode Island,Nonprofit (founded by RI community health centers),medicaid_mco,commercial|managed_medicaid,RI,1,NHPRI|Neighborhood INTEGRITY,,,,,
network-health,Network Health,Froedtert Health + Ascension Wisconsin (joint ownership),commercial,commercial|medicare_advantage,WI,1,Network Health Medicare Advantage|Network Health Plan,,,,,
new-hampshire-healthy-families,New Hampshire Healthy Families (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid,NH,1,Ambetter from NH Healthy Families (marketplace)|NHHF,,,,,Centene plans generally consolidate on 68069 — verify per plan
nextblue-of-north-dakota,NextBlue of North Dakota (BCBSND),Blue Cross Blue Shield of North Dakota / HealthyDakota Mutual Holdings,medicare_advantage,medicare_advantage,ND,1,NextBlue of North Dakota Insurance Company,,,,,
oklahoma-complete-health,Oklahoma Complete Health,Centene Corporation,medicaid_mco,managed_medicaid,OK,1,Centene Oklahoma|OCH,,,,,Centene plans generally consolidate on 68069 — verify per plan
original-medicare-and-wyoming-medicaid,Original Medicare & Wyoming Medicaid (direct FFS enrollment),CMS / Wyoming Department of Health,commercial,,WY,1,,,,,,
pace-organization-of-rhode-island,PACE Organization of Rhode Island,Independent nonprofit PACE,medicaid_mco,managed_medicaid|medicare_advantage,RI,1,PACE-RI,,,,,
passport-health-plan-by-molina-healthcare,Passport Health Plan by Molina Healthcare,Molina Healthcare,medicaid_mco,commercial|managed_medicaid,KY,1,Molina Healthcare of Kentucky|Passport,,,,,
peak-health,Peak Health (WVU Medicine),West Virginia University Health System,commercial,commercial|medicare_advantage,WV,1,Peak Health Medicare Advantage,,,,,
pehp-health-and-benefits,PEHP Health & Benefits,Utah Retirement Systems (public trust),commercial,commercial,UT,1,Public Employees Health Program,,,,,
peoples-health,Peoples Health (UnitedHealth Group),UnitedHealth Group (acquired 2018),medicare_advantage,medicare_advantage,LA,1,Peoples Health Dual Complete|Peoples Health Secure Health,,,,,
physicians-health-plan-of-northern-indiana,Physicians Health Plan of Northern Indiana (PHP),"PHP (Fort Wayne-based, provider-affiliated)",commercial,commercial|medicare_advantage,IN,1,PHP Medicare,,,,,
piedmont-community-health-plan,Piedmont Community Health Plan,Centra Health,commercial,commercial,VA,1,PCHP,,,,,
point32health,Point32Health (Harvard Pilgrim Health Care + Tufts Health Plan),Point32Health,commercial,commercial|managed_medicaid|medicare_advantage,MA,1,Harvard Pilgrim|Tufts Health Direct|Tufts Health Plan|Tufts Health Together|Tufts Medicare Preferred,04271,per_plan,,,"claim.md/payer/04271 (Harvard Pilgrim Health Care); claim.md/payer/04298 (Tufts Health Plan); quickintell.com/payers/tufts-health-plan | no unified Point32Health payer ID — Harvard Pilgrim 04271, Tufts 04298"
preferredone,PreferredOne (Fairview / now part of Medica orbit),Fairview Health Services (PreferredOne Insurance Co.); administrative alignment with Medica,commercial,commercial,MN,1,PreferredOne Community Health Plan,,,,,
presbyterian-health-plan,Presbyterian Health Plan (NM),Presbyterian Healthcare Services,medicaid_mco,commercial|managed_medicaid|medicare_advantage,NM,1,PHP|Presbyterian Insurance Company|Presbyterian Senior Care|Presbyterian Turquoise Care,PREHP,per_state,,,Availity 837 PDF (PRESBYTERIAN HEALTH PLAN (COMMERCIAL) PREHP; Medicaid NM Presbyterian Salud PRESA)
primewest-health,PrimeWest Health,County-based purchasing joint powers (24 west-central MN counties),medicaid_mco,managed_medicaid,MN,1,,,,,,
priority-health,Priority Health (Corewell Health),Corewell Health,commercial,commercial|managed_medicaid|medicare_advantage,MI,1,Priority Health Choice (Medicaid)|PriorityMedicare,38217,per_state,,,claim.md/payer/38217/Priority Health.html
priority-partners,Priority Partners (Johns Hopkins Health Plans),Johns Hopkins Medicine (JV with Maryland Community Health System),medicaid_mco,managed_medicaid,MD,1,PPMCO,,,,,
prominence-health-plan,Prominence Health Plan (UHS),Universal Health Services,commercial,commercial|medicare_advantage,NV,1,Prominence HealthFirst,,,,,
providence-health-plan,Providence Health Plan,Providence (health system),commercial,commercial|medicare_advantage,OR,1,PHP|Providence Medicare Advantage,SX133,per_region,,,claim.md/payer/sx133 (result titled 'Providence Health Plan')
qualchoice,QualChoice (Centene),Centene Corporation,commercial,commercial,AR,1,QCA Health Plan|QualChoice of Arkansas,,,,,Centene plans generally consolidate on 68069 — verify per plan
quartz-health,Quartz Health,"Quartz Health Solutions (UW Health, Gundersen/Emplify, Advocate Aurora ownership)",commercial,commercial|managed_medicaid|medicare_advantage,WI,1,Quartz Health Benefit Plans|Unity Health Insurance / Gundersen Health Plan / Physicians Plus (legacy brands),39180,per_region,,,Availity 837 PDF (QUARTZ 39180)
regence-bluecross-blueshield-of-oregon,Regence BlueCross BlueShield of Oregon,Cambia Health Solutions,commercial,commercial|medicare_advantage,OR,1,Cambia|Regence Oregon,00851,per_state,,,"Availity 837 PDF: REGENCE BCBS OREGON 00851, REGENCE BCBS UTAH 00910, REGENCE BS IDAHO 00611, REGENCE BS WASHINGTON 00932; Asuris NW 93221, BridgeSpan BRIDG"
regence-bluecross-blueshield-of-utah,Regence BlueCross BlueShield of Utah (Cambia),Cambia Health Solutions,commercial,commercial|medicare_advantage,UT,1,Regence BCBS Utah,00910,per_state,,,"Availity 837 PDF: REGENCE BCBS OREGON 00851, REGENCE BCBS UTAH 00910, REGENCE BS IDAHO 00611, REGENCE BS WASHINGTON 00932; Asuris NW 93221, BridgeSpan BRIDG"
regence-blueshield,Regence BlueShield (Cambia),Cambia Health Solutions,commercial,commercial|medicare_advantage,WA,1,"Asuris Northwest Health (Cambia affiliate, eastern WA)|Regence BlueShield of Washington",00932,per_state,,,"Availity 837 PDF: REGENCE BCBS OREGON 00851, REGENCE BCBS UTAH 00910, REGENCE BS IDAHO 00611, REGENCE BS WASHINGTON 00932; Asuris NW 93221, BridgeSpan BRIDG"
regence-blueshield-of-idaho,Regence BlueShield of Idaho (Cambia Health Solutions),Cambia Health Solutions,commercial,commercial|medicare_advantage,ID,1,Regence Blue Shield of Idaho,00611,per_state,,,"Availity 837 PDF: REGENCE BCBS OREGON 00851, REGENCE BCBS UTAH 00910, REGENCE BS IDAHO 00611, REGENCE BS WASHINGTON 00932; Asuris NW 93221, BridgeSpan BRIDG"
rocky-mountain-health-plans,Rocky Mountain Health Plans (UnitedHealthcare),UnitedHealth Group,commercial,commercial|managed_medicaid|medicare_advantage,CO,1,RMHP|RMHP PRIME,,,,,
samaritan-health-plans-intercommunity-health-network-cco,Samaritan Health Plans / InterCommunity Health Network CCO,Samaritan Health Services,medicaid_mco,commercial|managed_medicaid|medicare_advantage,OR,1,IHN-CCO|Samaritan Advantage,,,,,
security-health-plan,Security Health Plan (Marshfield Clinic),Marshfield Clinic Health System (Sanford Health merger completed 2025),commercial,commercial|managed_medicaid|medicare_advantage,WI,1,Security Administrative Services (ASO)|Security Health Plan of Wisconsin,,per_region,,,
sentara-health-plans,Sentara Health Plans (formerly Optima Health),Sentara Health,commercial,commercial|managed_medicaid|medicare_advantage,VA,1,Optima Health|Sentara Community Plan (Medicaid)|Virginia Premier (merged into Sentara Health Plans),54154,per_region,,,claim.md/payer/54154 (Optima/Sentara Health Plan); practice.mbpractice.com payerId=54154
silversummit-healthplan,SilverSummit Healthplan (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid,NV,1,Ambetter from SilverSummit Healthplan (marketplace)|Wellcare (Centene MA),,,,,Centene plans generally consolidate on 68069 — verify per plan
simply-healthcare-plans,Simply Healthcare Plans (Elevance Health),Elevance Health,medicaid_mco,managed_medicaid|medicare_advantage,FL,1,Clear Health Alliance (HIV/AIDS specialty brand)|Freedom Health (Elevance MA)|Optimum HealthCare (Elevance MA)|Simply,,,,,
simpra-advantage,Simpra Advantage,Simpra Advantage Inc.,medicare_advantage,medicare_advantage,AL,1,,,,,,
south-country-health-alliance,South Country Health Alliance,County-based purchasing joint powers (southern MN counties),medicaid_mco,managed_medicaid,MN,1,SCHA,,,,,
st-luke-s-health-plan,St. Luke's Health Plan,St. Luke's Health System (Boise),commercial,commercial,ID,1,,,,,,
summit-community-care,Summit Community Care (Elevance Health),Elevance Health (Anthem),medicaid_mco,managed_medicaid,AR,1,Summit PASSE,,,,,
sunflower-health-plan,Sunflower Health Plan,Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,KS,1,Ambetter from Sunflower Health Plan (marketplace)|Wellcare (Centene MA affiliate),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
sunshine-health,Sunshine Health (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,FL,1,Ambetter from Sunshine Health|Children's Medical Services Health Plan (operated by Sunshine)|Sunshine State Health Plan|Wellcare of Florida,68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
superior-healthplan,Superior HealthPlan (Centene),Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,TX,1,Ambetter from Superior HealthPlan|Wellcare (Centene TX MA),68069,per_plan,,,"Availity 837 PDF: 68069 rows for AMBETTER, CENTENE, SUPERIOR HEALTHPLAN, plus most state plans (Sunflower, Sunshine, Peach State, Buckeye, Magnolia, Louisiana Healthcare Connections, Coordinated Care, Arizona Complete Health, etc.)"
the-health-plan,The Health Plan (WV),"The Health Plan of West Virginia Inc. (independent, provider-affiliated non-profit)",commercial,commercial|managed_medicaid|medicare_advantage,WV,1,SecureCare (MA)|THP|The Health Plan of the Upper Ohio Valley (legacy name),95677,per_region,,,healthplan.org search summary: 'The Health Plan's National Payer ID is 95677'
trillium-community-health-plan,Trillium Community Health Plan,Centene Corporation,medicaid_mco,managed_medicaid|medicare_advantage,OR,1,Trillium North|Trillium South,,,,,Centene plans generally consolidate on 68069 — verify per plan
trillium-health-resources,Trillium Health Resources (Tailored Plan),Trillium Health Resources (public managed-care entity),medicaid_mco,managed_medicaid,NC,1,Trillium Tailored Plan,,,,,
truecare,"TrueCare (Mississippi True, CareSource-supported)",Mississippi True (provider-sponsored nonprofit; CareSource strategic partner),medicaid_mco,managed_medicaid,MS,1,Mississippi True,,,,,
tufts-health-plan,Tufts Health Plan,Point32Health,commercial,commercial|medicare_advantage,RI,1,Tufts Health Direct|Tufts Health RITogether (exited 2025),04298,per_plan,,,claim.md/payer/04271 (Harvard Pilgrim Health Care); claim.md/payer/04298 (Tufts Health Plan); quickintell.com/payers/tufts-health-plan
ucare,UCare,UCare Minnesota (independent nonprofit),medicaid_mco,managed_medicaid|medicare_advantage,MN,1,UCare Connect (SNBC)|UCare Minnesota Senior Health Options,55413,per_state,,,claim.md/payer/55413; ucare.org electronic-transactions page surfaced in same search
uha-health-insurance,UHA Health Insurance (University Health Alliance),University Health Alliance,commercial,commercial,HI,1,UHA,,,,,
unicare,UniCare (Elevance Health),Elevance Health,commercial,commercial,MA,1,GIC Basic/Community Choice|UniCare State Indemnity Plan,,,,,
university-of-utah-health-plans,University of Utah Health Plans (Healthy U),University of Utah Health,medicaid_mco,commercial|managed_medicaid,UT,1,Healthy U|U of U Health Plans,,,,,
upmc-health-plan,UPMC Health Plan (incl. UPMC for You),UPMC,commercial,commercial|managed_medicaid|medicare_advantage,PA,1,UPMC Community HealthChoices|UPMC for Life|UPMC for You,23281,per_region,,,claim.md/payer/23281/UPMC; thepracticebridge.com/23281
vantage-health-plan,Vantage Health Plan,"Vantage Holdings (Monroe, LA; affiliated with Affinity Health Group)",medicare_advantage,commercial|medicare_advantage,LA,1,Vantage Medicare Advantage,,,,,
viva-health,VIVA Health,UAB Health System (University of Alabama at Birmingham),medicare_advantage,commercial|medicare_advantage,AL,1,"VIVA Health, Inc.|Viva Medicare",,,,,
wellcare-of-kentucky,WellCare of Kentucky,Centene Corporation,medicaid_mco,commercial|managed_medicaid|medicare_advantage,KY,1,Ambetter from WellCare of Kentucky (marketplace)|Wellcare (MA),,,,,WellCare-branded plans seen as 14163/11315 in the Availity list — verify per plan
wellcare-of-north-carolina,WellCare of North Carolina (Centene),Centene Corporation,medicaid_mco,managed_medicaid|medicare_advantage,NC,1,Ambetter of North Carolina (Centene sister exchange brand)|Carolina Complete Health (merged into WellCare April 2026)|Wellcare (MA/PDP brand),,,,,WellCare-branded plans seen as 14163/11315 in the Availity list — verify per plan
wellpoint-iowa,"Wellpoint Iowa (Elevance Health, formerly Amerigroup Iowa)",Elevance Health,medicaid_mco,managed_medicaid,IA,1,Amerigroup Iowa (legacy name),,,,,
wellpoint-maryland,Wellpoint Maryland (Elevance),"Elevance Health (renamed from Amerigroup Community Care, 2024)",medicaid_mco,managed_medicaid,MD,1,Amerigroup Community Care (former name)|Wellpoint,,,,,
wellpoint-new-jersey,Wellpoint New Jersey (Elevance),Elevance Health,medicaid_mco,managed_medicaid,NJ,1,Amerigroup New Jersey (former name),,,,,
wellpoint-tennessee,Wellpoint Tennessee (Elevance Health),Elevance Health,medicaid_mco,managed_medicaid|medicare_advantage,TN,1,Amerigroup Community Care|Amerigroup Tennessee (pre-2024 name),,,,,
wellpoint-texas,Wellpoint Texas (Elevance Health),Elevance Health,medicaid_mco,managed_medicaid|medicare_advantage,TX,1,Amerigroup Texas (pre-2024 name),,,,,
wellpoint-washington,Wellpoint Washington (Elevance),Elevance Health,medicaid_mco,managed_medicaid|medicare_advantage,WA,1,Amerigroup Washington (renamed Wellpoint effective 2024),,,,,
wellpoint-west-virginia,Wellpoint West Virginia (Elevance),Elevance Health,medicaid_mco,managed_medicaid|medicare_advantage,WV,1,UniCare Health Plan of West Virginia (renamed Wellpoint 2024),,,,,
wellsense-health-plan,WellSense Health Plan (Boston Medical Center Health System),Boston Medical Center Health System,medicaid_mco,commercial|managed_medicaid,MA,1,BMC HealthNet Plan (former name)|WellSense Care Alliance|WellSense Clarity/Qualified Health Plans,,,,,
wellsense-health-plan-of-new-hampshire,WellSense Health Plan of New Hampshire,Boston Medical Center Health System,medicaid_mco,managed_medicaid,NH,1,BMC HealthNet Plan (parent's MA-state brand)|Well Sense Health Plan (former name),,,,,
yale-health,Yale Health,Yale University,commercial,commercial,CT,1,Yale Health Plan,,,,,
zing-health,Zing Health,Zing Health Holdings (Chicago),medicare_advantage,medicare_advantage,IL,1,,,,,,
